reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
gp:AOqpTOGK9lLn95P5lwDhYTvP0-6iXahe6CE6g-ZyWi2qyCyRF8WRCs2VyAE-4zPyXrvW7FefLecMvqbPN8btuaQ,Lalaine Angelica Tabbada,https://play-lh.googleusercontent.com/a/AATXAJzSEMGXDy-wsMhqQkTXpBQ9Fy-AoMiCUgBRZKDl=mo,"Really great editing app, its all around which makes it great. Has everything I need for basic editing. It makes editing easier because of premade tools and stickers, designs, etc. I gave it four stars only because of how slow it loads, especially at starting the app. It is pretty stressful, so you really gotta have patience at waiting for stuff to load.",4,72,2.115.0,2021-06-16 23:18:36,"Hello Lalaine. We are sorry to hear that it takes a while to access or load the app. Try closing Canva and re-open the app. If it is running slow, close some unused apps. Update the app to get new features. If the issue recurs, report it at canva.me/android. Regards. - Ahn
",2021-06-19 22:40:17
gp:AOqpTOFkrP-Ts3CjgikxAZ3vkbtDtPXlg5oPXZIbt-No-nkr5kRvuxXakHlW1SZ_3wvhL6yRMfhiZsWIarwrSoM,SauFi Sky,https://play-lh.googleusercontent.com/a-/AOh14GgP9hy322ZSk2zbCqRApI8b_0Piu8VYQy-qjMtmebo,"having troubles downloading the files recently, even after cleaning up the cache. it just stuck at the downloading page (""your so called making magic happens window""). I even went to the extend of uninstall and re-install the app and still the same. just recently this problem occurs, before this it was just alright. for a premium user, if this problem still hasn't been improved, it's disappointing. might as well just discontinue the membership.",2,72,2.116.0,2021-06-22 03:25:28,"Hi there. Sorry to hear that you are unable to download your design. Please force close the app then restart it. You may also close other apps to free space in your device storage. Update your app to get new features. If the issue recurs, report it at canva.me/android. Regards. - Ahn
",2021-06-25 23:23:55
gp:AOqpTOFgUSuPKMsfMr97MwsyoNVju1ZPZ0sEeLakG0I5W47How4XuR_yhz3eRqm6fZaXU0FA5JJj715xHCR1mE8,Jasmine Siemon,https://play-lh.googleusercontent.com/a-/AOh14GjH_QD253Ru5JI10KqIv5sqG_K0_xCDnOPAAiV6ZA,Great app. Although I prefer the desktop version. Wish Canva had an option for closed captions in videos.,5,16,2.123.0,2021-08-12 12:05:25,,
gp:AOqpTOHWHJxKBZ19FUPfoTO3oRRvBZZH4T-SFX5ChjvlxtKvK_gPvJOadJDPIOr6T6jkGCmKrWzP-HWod2BQMTI,ARIF ALVI,https://play-lh.googleusercontent.com/a-/AOh14GgNPIBE8vZ9gKjqPxIBBRxDK48egzuiCVyasN8h8w,Unable to save my work. Nothing works :(,1,15,2.127.0,2021-09-06 08:53:41,"Hi ARIF. We understand the inconvenience you are encountering with the new app. We would like to help you resolve this, kindly send us a complete details of the issues encountered at canva.me/android. Regards, Mary",2021-03-23 06:02:32
gp:AOqpTOGnJgBnGLV3kglEJmSiHc8YvGkHue8q3tAgMn2SXq5Jcmh3JC7SqvXB6ypwha3Wp-Ec3VE_nU5EWLEaugE,sitifarah wahidah,https://play-lh.googleusercontent.com/a-/AOh14Gjvc3JcvTfcvd9k17VsoAve79faQ1kD0Z0wG9kxRw,The apps really help in editing any kinds of graphics and turns that into arts and informatics. Developer was really brilliant and I was able to save my money. The apps consist of thousands of ready to use templates and user friendly too! I can design my own resumes and poster. it very convenient and easy to use.,5,14,2.116.0,2021-06-21 08:12:43,,
gp:AOqpTOGx3ceiOjOSn66emBQ7-pFHbSlm5TGS7rUqwV7HDXxppHY1slUiQ9018LXjp-OXnDip-b6knEqe5kWIFs0,T Ajai Mohan,https://play-lh.googleusercontent.com/a-/AOh14Ghpk1hA1cj0AFtJveVCHpLFhUNiLY1e2HiUZrokfA,"8 out of 10 times, the app crashes.Another main issue is that while we are sliding the bottom panel of the editing interface, it randomly selects any icon. This is so frustrating bze while i an going for the transparency tool, the font size tool is automatically selected Another issue is the thumbnail problem. We can't distinguish a particular template bze the thumbnail may show the image of a previous work which was done on the same template",2,13,2.116.0,2021-06-21 18:47:02,"Hi there. We're sorry to hear that you are having trouble with the app. We will make sure to take note of this for us to improve the app. For us to check, kindly send us a screenshot or a recording of the issue and send it through canva.me/android. Kindly keep an eye to our future updates with performance improvements. Thank you -Gel",2021-06-26 19:30:23
gp:AOqpTOEXgkZpJJAnFwwttOAm1MAWzAHF7LGmTR5f50Yh3z7do18zhy42crZ5RrfkUS3jjSBFnYAhvtfn1I-UMFM,Community Uplift Program,https://play-lh.googleusercontent.com/a-/AOh14GgWveIoMlSLnU7exdfBUd66vNsYFcyvQbDhlFLG,"I hate that this isn't on the desktop version but it's easier than I anticipated. thank you for not being complete garbage, only partial garbage",4,11,2.120.0,2021-07-21 19:48:30,"Hi there. Sorry if the new app interface is not what you have expected it to be. We understand that you are used to the old interface, but this will bring the most of the web features into the app. You may visit https://bit.ly/34nRMXC and https://bit.ly/3cXqShj for guides or tutorials. Update the app to get new features. - Ahn
",2021-08-07 06:31:18
gp:AOqpTOH6K19iM-use3VvraBHW3GbCc8sOP23ZlOIABV6gVDdPLJuD_wf50j6fcfmLbbWMSxw7lHeTenV1CXhMvA,Adriana Greggio,https://play-lh.googleusercontent.com/a-/AOh14GgIuIDGor4_4ofm1q_3PsZ4aKa_QbEc624vJIhd8_E,I live Canva so much. it's my first time on the app. so far so good. I couldn't find the option for transparent background. if it doesn't work it's bad. it's a great feature on the desktop version.,5,11,2.122.0,2021-07-31 12:43:36,,
gp:AOqpTOHUVKg3va-NwWuu-oCl0c3yS5YXfmenXL8nc7xdJvWG0R8zWPDnD7b_vTwJJG3JDYawdwFEC3rjo6uGzPc,Anusha Kamath,https://play-lh.googleusercontent.com/a-/AOh14GhFmMtp9n9vgkcxZGLhfEo2NAcGdi684bkToi6TZG0,Doesn't open any of my design or even let me make a new one. Sent video and screenshot to canva.me/Android. Please look into it asap I've lots of projects for my social media sites and client projects on my freelancing sites pending.,1,10,2.118.0,2021-07-06 00:58:11,"Hi there. We're sorry to hear that you are having trouble with the app. We will make sure to take note of this for us to improve the app. For us to check, kindly send us a screenshot or a recording of the issue and send it through canva.me/android. Kindly keep an eye to our future updates with performance improvements. Thank you -Gel",2021-07-05 20:54:36
gp:AOqpTOFUrKBvW4ErwBrouacUTxL1L56Tb3fJzw9ZUAwSIx2l7S_2SviNDeJ-oY8ZILCFti4Yi2-DVCOnU_GN0YA,Ammar Fahim,https://play-lh.googleusercontent.com/a-/AOh14GjDKP6JJLcx_w6lMEgFJC23M9iRbKR3dXfyPn8I,This is really a good app that I've ever used. Anything you want to create and anywhere without any glitches. I love it👍,4,10,2.121.0,2021-07-23 06:05:35,"Hello Ammar, thanks for your feedback. We really appreciate it. We're continuously working to make the app much better. Please keep your app updated as we regularly release new features and improvements. Feel free to let us know your concerns thru canva.me/android. Thanks! - Cynch",2021-08-08 03:19:44
gp:AOqpTOEfxzHOwWq2EVKk6gWrA202ZGgP5AZp90tufusWHQRob8YEQ93NOP4546pfIJNXhGZn68Az_TzZ8kI5scg,Arshi,https://play-lh.googleusercontent.com/a-/AOh14GhL4_J1Nral3ChhasDKIDmj2i-bwH-d3R8nh07W,Nice app can you add gradient colour option because they need so much in lebel design and another thing is you removed a zoom option it was so helpful! thanks please do it if you can 😊,4,10,2.117.0,2021-06-28 08:44:44,"Hi Arshi, thank you for your feedback. We regularly release updates for improvements & also add new features so please make sure your app is updated as your suggestions might becomes available in the near future. For concerns, reach us at canva.me/android. - Lou",2021-06-27 06:57:09
gp:AOqpTOHFOq1xmdrKNsbdYWGu5dhpsSp6j9cMbJbPwP2P5Ew3L7BHYnCpf-r2d2X5pAtdSbQt5hntoKSxEZLPbQA,Crystal Eve Palma,https://play-lh.googleusercontent.com/a-/AOh14GgklJkWZgR5HiQUW0jn4z-mdeQ2jk8ZWnPcogLJmA,"the app is great, tbh. but recently, it takes long to save an image even though our connection's strong.",2,8,2.117.1,2021-07-07 00:44:36,Hi Crystal! Thanks for the feedback. Sorry to hear that your experience with the app is not what you expected. Please tell us more about the issue so we can further assist you at canva.me/android. We also suggest that you keep your app updated to get its full features. Many thanks for your patience. - Cynch,2021-07-22 09:07:53
gp:AOqpTOEZcSTJUdUGbVedT7sbMPA4WKZGbbmTzmjf1ngJQ04BH7EsqH0PEy39QmRm7T4ih0QEGdXBJrmcZMXnVSw,Puneet Kumar,https://play-lh.googleusercontent.com/a-/AOh14GhOaIPxlJdNPUlOwVbGTVt0ulXsEgQU9oNMoBS6gXg,"This App is going worst and worst on every update. Lagging and Crashing becomes hobby of this App. Aften , it automatically closed while working and sometimes auto re-start. Also it's take too much time to open. Finally our team to decide to uninstall this App and to use Adobe Spark. however , Adobe Spark doesn't have enough features but in performance that App is better Canva.",1,8,2.116.0,2021-06-19 10:45:25,"Hi Puneet. We are sorry to know your app crashed and lagged. This could happen if multiple apps are running at the same time on your device. Close unused apps and re-open the Canva app. If the issue recurs, report it to canva.me/android. Regards. - Ahn
",2021-06-21 16:43:22
gp:AOqpTOGSjYy-p-tUyg5wCZXZ4OQ43kPRhbaI5Dj32a2ilMD1TARwDC8D8lHpf0zZeqbophNrHST8RJ9GNJ2XP7I,Amber Khurram,https://play-lh.googleusercontent.com/a-/AOh14GgVm9P8CJI1LLw2QxIR8nrBqKgCa-AU91EBr5mdfA,good app but it keeps saying to get the pro version and takes a lot of time to load asap it also is glitching alot and saying that our net is low please fix this,3,8,2.121.1,2021-07-27 11:13:46,"Hi Amber, we're sorry if the app is kind of lag. To fix this issue, try to update your app on its new version because we include improvement performances and bug fixes. If the issue persists, send us the details through this link: canva.me/android and we'll take a closer look. Regards - Claressa
",2021-08-12 08:12:26
gp:AOqpTOEEDwV5N9eCVbYSM-QuWXiQ4fiOCFdWC8QVpibQ3UpuqMYmE2jFvGH4VM4YV-DOdZ42lOmDxJyHVg_4QT0,Akash Banerjee,https://play-lh.googleusercontent.com/a/AATXAJzue3QyDmB298hXDs7c8L0TSwQELlQ91n3uEKup=mo,Fantastic application for photo editing 👍. I am very much happy after installation.,5,7,2.117.0,2021-06-30 18:43:42,,
gp:AOqpTOEvLFEBC17fMTVfuC9s6HZGWQALeJWybuwawhf3XdHVzkzDqhHL2lAi1XtftuIi3xroHczybn1nt_kb2ZM,Hamza Jamal,https://play-lh.googleusercontent.com/a/AATXAJzxa0QBDghKCpMUutbaTLk7NhBQvjSM1Vp29838=mo,this is a really really really a good app for logos and for all thing I like this have very much if you want to for YouTube logos and thumbnails and anything please install this app this app is very good and,5,7,2.118.0,2021-07-03 03:21:34,,
gp:AOqpTOE2CGgaq9lc0xB524IIDiF2TT0kSmE3t4-77yhAZ6wvQv3Z9NciY0bhZYZW3_K5-er48mpTe9g89ocCmyE,iStrawberryZena,https://play-lh.googleusercontent.com/a-/AOh14GgdXCpVXs67FWWYg9fQTRN_OE-4bLPN3cmxwUhHTg,"This app is so good! I can't believe I'd ever find something good like this! This app is perfect for beginners. Well, I'm not a beginner, I say that this is really perfect for one! If you're reading this, install the app right away! Really Easy Really Good and Really Cool!",5,6,2.116.0,2021-06-20 14:42:43,,
gp:AOqpTOHZ3IVxXSgLfEPVfKmyLVjTWSfTKEnJvUHebibVA2zDafSiRbZlC2QrNPpYer0zzFFkSL4OdPKI_n2JzKQ,Novianti Octavina,https://play-lh.googleusercontent.com/a/AATXAJyd97RhfHwzYFO0x6p71w6XsA4BlezE-6b_XKPl=mo,"I've been using this apps for awhile and paid for pro but after the recent update I'd have annoying issue in in sharing mode. Before this I can share my file while using the app but now I have to save my work first, then go to gallery n manually share it because the share button did not work. Could u fix this prob? I've been having this for months now. Tried to log out n in again plus uninstall and install again but still having same problem",2,5,2.116.0,2021-06-24 14:58:57,"Hi Novianti, we're sorry if your having issues with sharing. We want to make sure that you are properly assisted with the issue you encountered. Please provide us more details through here: canva.me/android. Don't forget to check for updates to get all the functionality of the app. - Lou",2021-06-25 05:00:17
gp:AOqpTOEZxuDvY5DAFeeX9vWZNly24refWpPoDsi-9RTw-x8m7fFAI9CnhM9rd3XOOalbt-cyKjzlq5jyQIlxrGc,donnette du bissette,https://play-lh.googleusercontent.com/a-/AOh14GhEms1sEGaOrgG9jAbJJ9vHbfVIGCbtPQPk-dNgV4g,"This is an awesome app, it makes poster/logo making sooo easy. Thank you to the developers and designers! 🥰",5,5,2.121.1,2021-07-25 14:23:48,,
gp:AOqpTOEaSc5ZE7Gz6C3KKeV0U3jkDqaJ5tfP3oKe8pU9mqTa8WjdrrJGwD8RYMCLxPD2_Jyu5N0qFx3UIWSnRaM,Shiela Bercadez,https://play-lh.googleusercontent.com/a-/AOh14Gj7S9GDmbQT_2WgBSTx7nnxUd0CxdV5Sh7xqh9Oeds,"It always closes when I try to log in or attempts to open it. At first I wasn't able to save any of the photos I created, so I installed and uninstalled. Now, it's the same problem again, I couldn't able to at least log in. It crashed right away.",1,5,2.116.0,2021-06-22 00:03:36,"Hello Shiela. We are sorry to hear that you are unable to access or login to the app. Try closing Canva and re-open the app. Also, if the app crashed, close unused apps. Update the app to get new features. If the issue recurs, report it at canva.me/android. Regards. - Ahn
",2021-06-25 20:31:48
gp:AOqpTOEV9NBzpykwIRB3XXQqshne9TUalakK3l4c6f0thz4OywqZ8Q5GMIwVz0n-ZglQJ1uVe8EXgLKU66q90p0,Elizabeth Norman,https://play-lh.googleusercontent.com/a-/AOh14GhEL40u3M5vLGKr5ZnUtjEQC8U2VL4RDEXlwOQvtU8,I am thankful for this app. I was able to design mybloho and business card with such ease. I am looking forward to using this for more advertisements and social media. Yay! Canva just helped me reach my goals! Thank you.,5,4,2.115.0,2021-06-16 15:54:36,,
gp:AOqpTOEEoVOta-zx3dYT1VSUEOcBDWhVtRWRR9N3KByc0DxNZ6xZOTE8pk0yAanVuKdKeQkSRp7fUodeIojP3bk,Fariha Wajid,https://play-lh.googleusercontent.com/a-/AOh14Ghe38mkkWUuuHKgnLaD3dQambxVI_19Vaaf6_LI,I like this app. this is very interesting and helpful to make different graphics..,5,4,2.124.0,2021-08-17 05:28:15,,
gp:AOqpTOEKn3NCasaE9HTDOw72afMJWJBuv9uUm67wvyMB_exlVM54CCtyILVorH25K1EVZ96Hb0qaJklclNM5htw,Kaung Myat Thu,https://play-lh.googleusercontent.com/a-/AOh14GiQpdnKob3BJbECbkVyxPd_VZdNx9F18wB0mrhGuw,"One of the best photo creator for Android, Easy To use and you can get many design template free 😘",5,4,2.117.0,2021-07-08 06:17:34,,
gp:AOqpTOEXyDRtSEeW3v80aZ4GAxcJ1vzUcUNil9ZTV506QGxWRLdaRwDKrdybqiquTKzAiC38wqx1D8tQyGCF_R8,MK Reviews,https://play-lh.googleusercontent.com/a-/AOh14GgxHh6IgPurhgTpVpZJCmspG8NmWEZW3-prjKt47g,Very nice app.... 100 per satisfied... I will recommend it to everyone... It will be more better to use this using their website,5,4,2.123.0,2021-08-21 10:48:02,,
gp:AOqpTOEPncdWZe7eMFe6gY68zCV1T1yR5QzVCZiFIYdAoj1MUqZbwyn6sTlLjqkHP1wjOYgMM8VhFwi1RSDPYKc,Wessam ashraf,https://play-lh.googleusercontent.com/a-/AOh14GjsXvDJ4TueOtD_-uOyHtF0lhlZDqX-WGibVFiWDw,I desined 8 pages design and it couldn't be saved or shared! It happened 4 times !!,1,3,2.123.0,2021-08-08 09:13:44,"We're sorry to hear that you can't save your design, Wessam. This is not the kind of experience we want you to have. Please check this link to keep you updated: https://bit.ly/3quu2MQ. Try to update your Canva app on it's latest version, and let us see how it goes. For other concerns, send it to: canva.me/android. Regards. - Claressa
",2021-08-18 12:22:14
gp:AOqpTOE2SkFXHa-Zk70E41goVyyyyaVXHu5Ps-FAHCZDLNPeHKSQ4isjdSWq5g0gXaTz2mYynSt2FMvC5uZOY8M,Parizad Pour,https://play-lh.googleusercontent.com/a-/AOh14GgGgUfuP-_9-fZ-0hMVFGIMWu9F5NiaxpGlyD71zA,This program has a severe weakness in the output of the work Saving time takes a lot of time!!!!!!,2,3,2.117.0,2021-07-01 00:32:38,"Hi there. We're sorry to hear that you are having trouble with the app. We will make sure to take note of this for us to improve the app. For us to check, kindly send us a screenshot or a recording of the issue and send it through canva.me/android. Kindly keep an eye to our future updates with performance improvements. Thank you -Gel",2021-07-04 18:13:38
gp:AOqpTOFYUev2w0rHnll8SvfkKJz2LOBWrH1_c_rSrjvOGX9LsZP1jtrWLLyLuY0xxygertiH2wVO6RLoTZXbLuM,Sapphire Orosco,https://play-lh.googleusercontent.com/a-/AOh14GiiAxxgxR7Fbw8gtC8Md6blgBwQAlnmal8iVzzu8w,Great app totally recommend for small business owners etc but I would to get like more templates and resizing options for the free version plz,5,3,2.121.1,2021-07-25 15:41:59,,
gp:AOqpTOGBNSdBfPoNMOqeoo0WRMfZlUXgPCqRCG7YyxGYgRjlBQx1GzFWXsh3v1n4RfZvoJnyM0NW1C7oLZfZdH4,Christopher Asiedu,https://play-lh.googleusercontent.com/a-/AOh14Gh2LKA97xaPTpYZlRViZVrcuh8kT4bF8iqgp8Grw_Q,"Wonderful place to be creative, many templates to play with. Very helpful for small businesses",5,3,2.120.0,2021-07-22 12:50:13,,
gp:AOqpTOFfcpnRVAtbn2UuCv621x9dBpk99lIfjZMlbL7pfC42aSpKQ52rzlCrpEHNQE8kKqDYthueG7HWEBI8wCI,Naieeam Mahabub Adnan,https://play-lh.googleusercontent.com/a-/AOh14GihOUlZogU-4CmxC41NOe2zZ3ZWfdDtoe2o_qe7YA,Fantastic apps. Love it. Day to day life its really cool to use. Professionals can be benefited by properly using this app.,5,3,2.121.1,2021-07-28 09:47:07,,
gp:AOqpTOEBhTPq9OHbRoAYIr5doKLKAPtJyooUht0QMhXuUGQjXMU9Z74sdo-BKGQmrnM0XBEaStL1sFCwNNs9Xq8,shiva gouraram,https://play-lh.googleusercontent.com/a-/AOh14GhnOzK5EuckgD74UAIaSbIeA32T3kxsrzWXfAnGyg,Canva is the best app and service to create beautiful high quality designs. I have been using it for years now for various purposes and Canva never dissapoonted me. There is no other tool that offers this level of quality and simplicity. I love it.,5,3,2.115.0,2021-06-17 04:03:01,,
gp:AOqpTOHEh_O_RwIDCBJOiikfOjIR--EQaLhrD_SOaFOviH6-0PaOn-UHsxvaDfENoqIE5lvRtAAXUySQI6ytM7k,Abul Hasan,https://play-lh.googleusercontent.com/a/AATXAJxZwe3RCv2Ce2ab48mkIQZDjzgH0s_jT-qsnguJ=mo,It was good untill now when I can't use the app because when a drag an image all screen glitches I want help but Canva customer service is horrible,3,3,2.123.0,2021-08-06 11:53:46,"Hi Abul, thanks for reaching out to us. We're sorry for the inconvenience. There was an issue that affected some of our users from performing tasks like uploads, downloading designs, etc, but the issue has now been resolved. If error persists, send us a report at canva.me/android. We also suggest that you keep your app updated. - Cynch",2021-08-17 02:22:58
gp:AOqpTOGMdRlCZetjBNDj_-ww-SkFYPqlgaXfCxXzbF8LqEWSUWzEPAjFIJwXvcQlSlrSboHDKtYJpTORLRGcwTk,Kimberly Hubbard,https://play-lh.googleusercontent.com/a-/AOh14GggPwKjkXStHkh7fYSqtaFaQy-4E2VY-G_0b2biNIg,"There has got to be some kind of new glitch in the app because it used to be find on mobile, and now I can't change the font on my projects. Incredibly frustrating as I do most of my canva work on my phone.",2,2,2.116.0,2021-06-24 13:15:43,"Hi Kimberly, we're sorry if your unable to change fonts in the app. We want to make sure that you are properly assisted with the issue you encountered. Please provide us more details through here: canva.me/android. Don't forget to check for updates to get all the functionality of the app. - Lou",2021-06-25 06:24:23
gp:AOqpTOE-eCx_hhPYIaokKVooigUXpBxr0-sdeHHVpiCew3GGzsMdU5wT6oCSDthgLttwsTZZxY16QuvRhspsUt4,Shahzad hassan Hassan,https://play-lh.googleusercontent.com/a/AATXAJzLQ9NG7IocDR5RyivuZlN7RV8bY4GxLYKPDdY=mo,It's a very nice app.I prefer downloading it because it has a high quality of the image's💜,5,2,2.121.1,2021-07-26 01:00:44,,
